Source_Mol,Target_Mol,Tissue,Source_Organism,Target_Organism,Label
CCOC(=O)CCC(=O)OCC,CCCCNC(=O)OCC#CI,prostate,Rat,Human,1
NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1,OC1=CC=C2C=CC=CC2=C1N=NC1=CC=CC=C1,kidney,Rat,Human,1
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,NC1=CC=C(Cl)C=C1,prostate,Rat,Human,1
NC1=CC2=C(C=CC=C2)C=C1,S1C=CC=C1C1=CC=C(S1)C1=CC=CS1,kidney,Rat,Human,1
N(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1,Cl.C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,kidney,Rat,Human,1
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1CC[C@@H](Cl)[C@@H](C1)OC,kidney,Rat,Human,1
CCN(CC)C1=CC=C(C=O)C(O)=C1,CCOC1=C(O)C=CC(C=O)=C1,prostate,Rat,Human,1
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,prostate,Rat,Human,1
NC1=CC=C(NC2=CC=CC=C2)C=C1,NC1=CC=C(NC2=CC=CC=C2)C=C1,brain,Rat,Human,1
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,prostate,Rat,Human,1
CC(C)N(C(=O)CCl)C1=CC=CC=C1,CC(O)C(=O)O[Hg]C1=CC=CC=C1,kidney,Rat,Human,1
CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O,kidney,Rat,Human,1
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,Cl.NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1,kidney,Rat,Human,1
O=C1C=CC(=O)C2=C1C=CC=C2,N#CSCSC1=NC2=CC=CC=C2S1,prostate,Rat,Human,1
OC(=O)\C=C/C(O)=O.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,OC(=O)\C=C/C(O)=O.CN1CCC(CC1)=C1C2=CC=CC=C2SC2=CC=CC=C12,kidney,Rat,Human,1
CC1=CC=C(C=C1)S(=O)(=O)C(I)I,CC1=CC=C(S)C=C1,kidney,Rat,Human,1
CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1,CC(=O)OC1=CC=C2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCC2=C1,kidney,Rat,Human,1
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,COC1=C(CN[C@H]2CCCN[C@H]2C2=CC=CC=C2)C=C(OC(F)(F)F)C=C1,prostate,Rat,Human,1
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,kidney,Rat,Human,1
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,[Na+].CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C2C=CC(=CC2=CC(=C1O)S([O-])(=O)=O)S([O-])(=O)=O,kidney,Rat,Human,1
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,Cl.CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1,kidney,Rat,Human,1
CCCCNS(=O)(=O)C1=CC=C(C)C=C1,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O,kidney,Rat,Human,1
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)[N+]([O-])=O,kidney,Rat,Human,1
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,CS(O)(=O)=O.CC1=CC(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)=CC2=C1NC(=O)CC2(C)C,prostate,Rat,Human,1
[Cl-].CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(=C2C=C1C)C1=C(C=CC=C1)C(=O)OCC,[Cl-].CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(=C2C=C1C)C1=C(C=CC=C1)C(=O)OCC,kidney,Rat,Human,1
CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,kidney,Rat,Human,1
[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,prostate,Rat,Human,1
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,kidney,Rat,Human,1
CCCCCCCCCC1=CC=C(O)C=C1,CCCCCCC1=C(O)C=C(O)C=C1,prostate,Rat,Human,1
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,kidney,Rat,Human,1
CCC1=C(OCC(O)=O)C=CC(SCC2=C(CN3CCN(CC3)C3=CC=C(OC)C=C3)N=C(S2)C2=CC=C(C=C2)C(F)(F)F)=C1,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,prostate,Rat,Human,1
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,kidney,Rat,Human,1
CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,[K+].CCC1=CC(=CC2=C1OCO2)C1=C(N(C2=CC=CC=C2C(F)(F)F)S(=O)(=O)C2=C1C=CC=C2)C([O-])=O,brain,Rat,Human,1
CC1=C(N)C=CC(CC2=CC(C)=C(N)C=C2)=C1,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,kidney,Rat,Human,1
OCCC1=CC=C(NC2=CC=C(O)C3=C2C(=O)C2=C(C=CC(O)=C2C3=O)[N+]([O-])=O)C=C1,CC1=C2C(O)=CC3=C4C2=C(C(O)=C1)C(=O)C1=C4C(=C(O)C=C1O)C(=O)C3(C)C,kidney,Rat,Human,1
O=C1C=CC(=O)C2=C1C=CC=C2,O=C1N(SC2CCCCC2)C(=O)C2=C1C=CC=C2,prostate,Rat,Human,1
[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C2=CC=CC=C2C=C1,[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O,prostate,Rat,Human,1
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,BrCC1=CC=CC(OC2=CC=CC=C2)=C1,kidney,Rat,Human,1
NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2,N[C@H]1CN(CC11CC1)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2C1C[C@H]1F)C(O)=O,kidney,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,1
CCCCCCCCCCCCCOP(O)(O)=O,CCCCCCCCCCCCO,prostate,Rat,Human,1
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,prostate,Rat,Human,1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,OC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1O,kidney,Rat,Human,1
[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,prostate,Rat,Human,1
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,prostate,Rat,Human,1
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,prostate,Rat,Human,1
N(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1,Cl.C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,kidney,Rat,Human,1
Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,Cl.CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,brain,Rat,Human,1
COC1=CC(C=CC)=CC=C1O,CC1=CC(O)=C(O)C=C1,kidney,Rat,Human,1
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,prostate,Rat,Human,1
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,kidney,Rat,Human,1
O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,Cl.Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1,prostate,Rat,Human,1
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,kidney,Rat,Human,1
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl,prostate,Rat,Human,1
CCCCCC1C(CC(=O)OC)CCC1=O,CCC(=O)OC(C)(C)C1CCC(C)=CC1,kidney,Rat,Human,1
CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1,Cl.CC1=CC=CC=C1N,kidney,Rat,Human,1
CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,CC1=CC(Br)=CC=C1NC(=O)CCl,kidney,Rat,Human,1
CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,kidney,Rat,Human,1
CCCCOC(=O)C1=CC=C(O)C=C1,CC(C)(C)OC(=O)C1=CC=C(O)C=C1,kidney,Rat,Human,1
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,kidney,Rat,Human,1
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,kidney,Rat,Human,1
CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC3=NON=C3C=C2)C=C1,CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC3=NON=C3C=C2)C=C1,kidney,Rat,Human,1
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1=CC=CC=C1,kidney,Rat,Human,1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,prostate,Rat,Human,1
ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,prostate,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,O=C1CCC(CC1)C1CCCCC1,kidney,Rat,Human,1
CCCCNC(=S)NCCCC,CCCC[Sn](Cl)(Cl)CCCC,kidney,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,kidney,Rat,Human,1
ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,kidney,Rat,Human,1
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,prostate,Rat,Human,1
CC[C@H]1CC[C@H](NCC2=CC3=C(C=C2OC)[C@H]2C[C@H]2C(=O)N3C)[C@@H](N1)C1=CC=CC=C1,CC[C@H]1CC[C@H](NCC2=CC3=C(C=C2OC)[C@H]2C[C@H]2C(=O)N3C)[C@@H](N1)C1=CC=CC=C1,brain,Rat,Human,1
CCOC(=O)CCC(=O)OCC,CCCCCC(=O)OCC,prostate,Rat,Human,1
CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C,COC(=O)C1=C(C)NC(COC(N)=O)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC(C)C,kidney,Rat,Human,1
CC(C)N(C(=O)CCl)C1=CC=CC=C1,CC(O)C(=O)O[Hg]C1=CC=CC=C1,kidney,Rat,Human,1
CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC2=CC=C(F)C=C2)C=C1,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,kidney,Rat,Human,1
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,prostate,Rat,Human,1
CCN(CC)C(=O)C1=CC=CC(C)=C1,CCN(CC)C(=O)C1=CC=CC(C)=C1,kidney,Rat,Human,1
N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,N#C\C=C\C#N,kidney,Rat,Human,1
CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl,ClCC(=O)C(Cl)Cl,kidney,Rat,Human,1
CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,brain,Rat,Human,1
OCCC1=CC=C(NC2=CC=C(O)C3=C2C(=O)C2=C(C=CC(O)=C2C3=O)[N+]([O-])=O)C=C1,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1O)C3=O)C(C)=O,kidney,Rat,Human,1
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1,kidney,Rat,Human,1
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C,prostate,Rat,Human,1
[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O,CCCCCCC1(C)CCC(=O)O1,prostate,Rat,Human,1
CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,prostate,Rat,Human,1
CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1,CC1=CC(O)=CC(C)=C1Cl,prostate,Rat,Human,1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N,N=C1NC(=N)C2=C1C=CC=C2,kidney,Rat,Human,1
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,kidney,Rat,Human,1
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCOC(=O)C1=CC=C(O)C=C1,prostate,Rat,Human,1
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,prostate,Rat,Human,1
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1,kidney,Rat,Human,1
COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,OC[C@H]1O[C@@H](OC2=CC3=C(OC(=O)C=C3)C=C2O)[C@H](O)[C@@H](O)[C@@H]1O,kidney,Rat,Human,1
[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O,brain,Rat,Human,1
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,prostate,Rat,Human,1
C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C,prostate,Rat,Human,1
OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,prostate,Rat,Human,1
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,kidney,Rat,Human,1
CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,CC(C)C(OC(=O)C1=CC=CC=C1)C(C)(C)COC(=O)C1=CC=CC=C1,kidney,Rat,Human,1
NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,NC1=C(O)C=C(C(Cl)=C1)[N+]([O-])=O,kidney,Rat,Human,1
CCOP(=S)(OCC)SCCSCC,CSCCCN=C=S,kidney,Rat,Human,1
Cl.COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC1=CC=C(CN2[C@@H](C)CCC[C@H]2C)C=C1)C(=O)N(C)C(C)C)C1=CC2=C(OCO2)C=C1,Cl.COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC1=CC=C(CN2[C@@H](C)CCC[C@H]2C)C=C1)C(=O)N(C)C(C)C)C1=CC2=C(OCO2)C=C1,brain,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,[H][C@@]12CC[C@H](O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],kidney,Rat,Human,1
CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,kidney,Rat,Human,1
OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1,prostate,Rat,Human,1
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,kidney,Rat,Human,1
CC(C)N(C(=O)CCl)C1=CC=CC=C1,ClCC(=O)NC1=CC=CC=C1,kidney,Rat,Human,1
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,kidney,Rat,Human,1
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,[Na+].[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)[N-]C1=O,kidney,Rat,Human,1
CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,CCCC(C1=CC(=C(O)C=C1C)C(C)(C)C)C1=CC(=C(O)C=C1C)C(C)(C)C,kidney,Rat,Human,1
Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,kidney,Rat,Human,1
CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](CC1CCCC1)C(=O)NC1=NC=CN=C1,Cl.N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12,prostate,Rat,Human,1
CCCCCC1C(CC(=O)OC)CCC1=O,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C(C)[C@]4(C)[C@H]3CC[C@]12C,kidney,Rat,Human,1
O=S(=O)(C1=CC=CC=C1)C1=CC=CC=C1,[O-][N+]1=C(SSC2=[N+]([O-])C=CC=C2)C=CC=C1,kidney,Rat,Human,1
[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,F[B-](F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1,kidney,Rat,Human,1
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(NC1=CC=CC=C1SSC1=C(NC(=O)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,1
C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2,C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1,prostate,Rat,Human,1
Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1,Cl.COC1=CC(C)=C(OC)C=C1C[C@@H](C)N,kidney,Rat,Human,1
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@H](CC[C@]65O)C5=CC(=O)OC5)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,kidney,Rat,Human,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,kidney,Rat,Human,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,kidney,Rat,Human,1
C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,brain,Rat,Human,1
OC1=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC(O)=CC=C2)=CC=C1,O[C@@H]1[C@@H](CC2=CC=C(C=C2)C2=CC=CC=C2)COC2=C1C=CC(=C2)C1(CCCC1)C(O)=O,kidney,Rat,Human,1
CCOC(=O)CCC(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,prostate,Rat,Human,1
CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1,C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,1
CCCCCC1C(CC(=O)OC)CCC1=O,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,kidney,Rat,Human,1
CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1,kidney,Rat,Human,1
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,kidney,Rat,Human,1
